job_id,scenario,seed,symbols,nu,spans,launch_power_dbm,output_csv,log_path,command,status
confirm_055_s_seed45,S,45,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_055_s_seed45.csv,results/final/logs/confirm_055_s_seed45.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 45 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_055_s_seed45.csv --log results/final/logs/confirm_055_s_seed45.log",planned_not_run
confirm_056_s_seed46,S,46,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_056_s_seed46.csv,results/final/logs/confirm_056_s_seed46.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 46 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_056_s_seed46.csv --log results/final/logs/confirm_056_s_seed46.log",planned_not_run
confirm_057_s_seed47,S,47,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_057_s_seed47.csv,results/final/logs/confirm_057_s_seed47.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 47 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_057_s_seed47.csv --log results/final/logs/confirm_057_s_seed47.log",planned_not_run
confirm_058_s_seed48,S,48,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_058_s_seed48.csv,results/final/logs/confirm_058_s_seed48.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 48 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_058_s_seed48.csv --log results/final/logs/confirm_058_s_seed48.log",planned_not_run
confirm_059_s_seed49,S,49,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_059_s_seed49.csv,results/final/logs/confirm_059_s_seed49.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 49 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_059_s_seed49.csv --log results/final/logs/confirm_059_s_seed49.log",planned_not_run
confirm_060_s_seed50,S,50,131072,0.36,12,-2.0,results/final/raw_confirmation/confirm_060_s_seed50.csv,results/final/logs/confirm_060_s_seed50.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""S"" --seed 50 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm -2.0 --output results/final/raw_confirmation/confirm_060_s_seed50.csv --log results/final/logs/confirm_060_s_seed50.log",planned_not_run
confirm_061_cpluss_seed21,C+S,21,131072,0.36,12,0.0,results/final/raw_confirmation/confirm_061_cpluss_seed21.csv,results/final/logs/confirm_061_cpluss_seed21.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C+S"" --seed 21 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm 0.0 --output results/final/raw_confirmation/confirm_061_cpluss_seed21.csv --log results/final/logs/confirm_061_cpluss_seed21.log",planned_not_run
confirm_062_cpluss_seed22,C+S,22,131072,0.36,12,0.0,results/final/raw_confirmation/confirm_062_cpluss_seed22.csv,results/final/logs/confirm_062_cpluss_seed22.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C+S"" --seed 22 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm 0.0 --output results/final/raw_confirmation/confirm_062_cpluss_seed22.csv --log results/final/logs/confirm_062_cpluss_seed22.log",planned_not_run
confirm_063_cpluss_seed23,C+S,23,131072,0.36,12,0.0,results/final/raw_confirmation/confirm_063_cpluss_seed23.csv,results/final/logs/confirm_063_cpluss_seed23.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C+S"" --seed 23 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm 0.0 --output results/final/raw_confirmation/confirm_063_cpluss_seed23.csv --log results/final/logs/confirm_063_cpluss_seed23.log",planned_not_run
confirm_064_cpluss_seed24,C+S,24,131072,0.36,12,0.0,results/final/raw_confirmation/confirm_064_cpluss_seed24.csv,results/final/logs/confirm_064_cpluss_seed24.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C+S"" --seed 24 --symbols 131072 --nu 0.36 --spans 12 --launch-power-dbm 0.0 --output results/final/raw_confirmation/confirm_064_cpluss_seed24.csv --log results/final/logs/confirm_064_cpluss_seed24.log",planned_not_run
