band,spans,launch_power_dbm,pcs_nu,shaped,stress_name,display_name,scenario,n_seeds,gmi_mean,gmi_std,gmi_ci95,ngmi_mean,ngmi_std,ngmi_ci95,ber_mean,ber_std,ber_ci95,gsnr_db_mean,gsnr_db_std,gsnr_db_ci95,rate_tbps_mean,rate_tbps_std,rate_tbps_ci95,train_time_s_mean,train_time_s_std,train_time_s_ci95,inference_time_s_mean,inference_time_s_std,inference_time_s_ci95,parameter_count_mean,parameter_count_std,parameter_count_ci95
C,8,6.0,0.0,False,evidence,Linear EQ,linear,5,2.8940293912855237,0.007777825500424937,0.006817564642143939,0.7235073478213809,0.0019444563751062343,0.0017043911605359847,0.070947265625,0.0010802437178414777,0.0009468753670613735,9.633282406543376,0.03163353723326281,0.027728017931959732,0.3086964684037892,0.0008296347200453259,0.0007272068951620196,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
C,8,6.0,0.0,False,evidence,Memory neural EQ,memory_neural,5,3.2956605799074694,0.03860860342759704,0.033841933017931834,0.8239151449768674,0.00965215085689926,0.008460483254482959,0.03922526041666667,0.0025069859701740485,0.0021974700907953933,11.626516537718675,0.24747943166271047,0.2169252862344871,0.35153712852346336,0.004118251032277024,0.003609806188579401,1.8781379399995786,0.6834034048594902,0.599029495973687,0.02032700000272598,0.028336931417227842,0.024838415529686995,7538.0,0.0,0.0
C,8,6.0,0.0,False,evidence,Polynomial NLC,poly_nlc,5,3.068745738901961,0.005286981842812795,0.004634243912163914,0.7671864347254902,0.0013217454607031987,0.0011585609780409786,0.05458170572916667,0.0007924652421979318,0.0006946264113332808,10.922702164449833,0.05555606856117556,0.04869704117924757,0.32733287881620915,0.0005639447299000176,0.0004943193506308054,0.005854159999580588,0.0017689832974323947,0.0015505822264152609,0.0,0.0,0.0,60.0,0.0,0.0
C,8,6.0,0.0,False,evidence,Raw,raw,5,2.8945345735391186,0.006694066999239111,0.0058676084316447805,0.7236336433847796,0.0016735167498097777,0.0014669021079111951,0.0709716796875,0.0006943596682194496,0.0006086330842373726,9.633783759735048,0.03157830451908919,0.027679604323397913,0.3087503545108393,0.000714033813252181,0.0006258782327087846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,10,-2.0,0.0,False,evidence,DBP-like,dbp_like,5,3.866991968448717,0.004901366171856438,0.0042962368736124525,0.9667479921121792,0.0012253415429641095,0.0010740592184031131,0.008170572916666665,0.00028249601168147423,0.0002476186719130016,14.447629378291216,0.01767607247592477,0.015493760655501274,0.4124791433011964,0.0005228123916646775,0.00045826526651865357,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C,10,-2.0,0.0,False,evidence,Linear EQ,linear,5,3.863482061127422,0.0049255478193959866,0.0043174330222333504,0.9658705152818555,0.0012313869548489966,0.0010793582555583376,0.008203125000000002,0.00022398045157101044,0.00019632752201480052,14.400560093181497,0.020922408805784134,0.01833929991036722,0.4121047531869251,0.0005253917674022317,0.000460526189038218,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
C,10,-2.0,0.0,False,evidence,Memory neural EQ,memory_neural,5,3.817359844141972,0.004009259860256271,0.003514271214101777,0.954339961035493,0.0010023149650640677,0.0008785678035254442,0.011002604166666667,0.0004896357082191188,0.00042918462129336717,14.651265582806298,0.15003082183714522,0.1315078136084225,0.4071850500418104,0.00042765438509400206,0.00037485559617085606,1.907196039998962,0.638272138318243,0.559470196654106,0.0079145800016704,0.0013849343739519508,0.001213948502576809,7538.0,0.0,0.0
C,10,-2.0,0.0,False,evidence,Polynomial NLC,poly_nlc,5,3.832578396714888,0.0033276841959372816,0.0029168438033488563,0.958144599178722,0.0008319210489843204,0.0007292109508372141,0.00966796875,0.00022025339522663314,0.0001930606130887367,15.311535291493339,0.058698496103135336,0.05145150036573791,0.4088083623162547,0.00035495298089998283,0.00031113000569055004,0.00740069999883417,0.0029792777605299574,0.002611452097788143,0.0,0.0,0.0,60.0,0.0,0.0
C,10,-2.0,0.0,False,evidence,Raw,raw,5,3.863638611305782,0.004553986109231259,0.0039917448234617035,0.9659096528264455,0.0011384965273078147,0.0009979362058654259,0.008211263020833335,0.00019386603596307917,0.00016993107289721066,14.400838605648195,0.021021330292377304,0.01842600841640262,0.4121214518726168,0.00048575851831797977,0.00042578611450256313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,10,0.0,0.0,False,evidence,DBP-like,dbp_like,5,3.8183540648833962,0.010217135338960763,0.008955713988066796,0.9545885162208491,0.0025542838347401907,0.002238928497016699,0.011360677083333333,0.000837564060424518,0.0007341572684510257,14.068489460276336,0.06588239709875032,0.057748467225908734,0.40729110025422893,0.001089827769489132,0.0009552761587271107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C,10,0.0,0.0,False,evidence,Linear EQ,linear,5,3.808056142411189,0.010249341520157459,0.008983943950563778,0.9520140356027973,0.0025623353800393648,0.0022459859876409445,0.012101236979166666,0.0007478571054301853,0.0006555256554776635,13.955312321963751,0.06473482341909863,0.05674257454520756,0.4061926551905269,0.0010932630954834613,0.0009582873547268021,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
C,10,0.0,0.0,False,evidence,Memory neural EQ,memory_neural,5,3.801616616949329,0.011919676899852544,0.010448057464618462,0.9504041542373323,0.002979919224963136,0.0026120143661546155,0.011564127604166667,0.001007193099850077,0.000882843677191534,14.441075754706807,0.10081893713415076,0.08837169476568565,0.40550577247459507,0.0012714322026509352,0.0011144594628926334,1.645321619999595,0.4272853447881678,0.37453211808042525,0.0068281599989859386,0.001425749462771253,0.0012497245053150082,7538.0,0.0,0.0
C,10,0.0,0.0,False,evidence,Polynomial NLC,poly_nlc,5,3.780545387428564,0.00974712026478868,0.008543727610797828,0.945136346857141,0.00243678006619717,0.002135931902699457,0.012532552083333334,0.0003242467743023528,0.00028421482889943637,14.991873516259478,0.05515066295693424,0.04834168749934673,0.4032581746590468,0.0010396928282441294,0.0009113309451517714,0.006605579999450129,0.002766271262103371,0.002424743669816772,0.0,0.0,0.0,60.0,0.0,0.0
C,10,0.0,0.0,False,evidence,Raw,raw,5,3.8077657166886736,0.010454370125330445,0.009163659446775291,0.9519414291721684,0.0026135925313326112,0.002290914861693823,0.012019856770833334,0.0007321957839697634,0.0006417979019516955,13.955907080798635,0.06497110311730094,0.05694968283222588,0.4061616764467918,0.0011151328133685765,0.0009774570076560274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
