scenario_group,spans,launch_power_dbm,pcs_nu,n_pairs,gmi_gain_mean,gmi_gain_std,gmi_gain_ci95,ngmi_gain_mean,ngmi_gain_std,ngmi_gain_ci95,symbol_entropy_delta_mean,symbol_entropy_delta_std,symbol_entropy_delta_ci95,ber_delta_mean,ber_delta_std,ber_delta_ci95,gsnr_delta_mean,gsnr_delta_std,gsnr_delta_ci95,aggregate_air_gain_mean,aggregate_air_gain_std,aggregate_air_gain_ci95,air_gain_mean,air_gain_std,air_gain_ci95,aggregate_rate_gain_mean,aggregate_rate_gain_std,aggregate_rate_gain_ci95,rate_gain_mean,rate_gain_std,rate_gain_ci95
C,6,6.0,0.2,7,0.006965421104105664,0.024061901242649536,0.01782530589264508,0.00404230169661162,0.006015475310662384,0.00445632647316127,-0.009203785682340815,0.0,0.0,-0.0009329659598214286,0.0018248437569481713,0.001351863173481424,-0.26062910680979406,0.06073098978664245,0.04499014683807267,0.0008915739013255407,0.003079923359059152,0.0022816391542585784,0.0008915739013255407,0.003079923359059152,0.0022816391542585784,0.0008915739013255407,0.003079923359059152,0.0022816391542585784,0.0008915739013255407,0.003079923359059152,0.0022816391542585784
C,6,6.0,0.24,7,0.012042240055053721,0.018381928110661576,0.013617522911629817,0.006319275030125304,0.004595482027665394,0.003404380727907454,-0.013234860065447496,0.0,0.0,-0.002532958984375,0.0023553297298098625,0.0017448526817774783,-0.2707523515301613,0.08135103480647825,0.06026568995879627,0.0015414067270468743,0.0023528867981646843,0.0017430429326886182,0.0015414067270468743,0.0023528867981646843,0.0017430429326886182,0.0015414067270468743,0.0023528867981646843,0.0017430429326886182,0.0015414067270468743,0.0023528867981646843,0.0017430429326886182
C,6,6.0,0.28,7,0.004070650950411814,0.022989039564491925,0.01703051883900367,0.0055137353909414655,0.005747259891122981,0.0042576297097509175,-0.017984290613354048,0.0,0.0,-0.0022103445870535715,0.0016990424337713726,0.0012586682490773947,-0.3456577817269087,0.08016050080141023,0.059383730025459075,0.0005210433216527112,0.0029425970642549992,0.002179906411392494,0.0005210433216527112,0.0029425970642549992,0.002179906411392494,0.0005210433216527112,0.0029425970642549992,0.002179906411392494,0.0005210433216527112,0.0029425970642549992,0.002179906411392494
C,6,6.0,0.32,7,-0.003961821300053181,0.03089218848576063,0.022885253492599577,0.004870764814143724,0.007723047121440158,0.005721313373149894,-0.023444880556628078,0.0,0.0,-0.0016217912946428572,0.002232615386810753,0.0016539446242921077,-0.39533346406590525,0.1005052399961918,0.07445532373686002,-0.0005071131264067853,0.003954200126177351,0.002929312447052739,-0.0005071131264067853,0.003954200126177351,0.002929312447052739,-0.0005071131264067853,0.003954200126177351,0.002929312447052739,-0.0005071131264067853,0.003954200126177351,0.002929312447052739
C,6,6.0,0.36,7,-0.007414724721804536,0.023523491939218336,0.017426446698921187,0.00554841673309016,0.005880872984804584,0.004356611674730297,-0.029608391654165178,0.0,0.0,-0.002049037388392857,0.001948544262245841,0.0014435017902212092,-0.4676827664042956,0.06195866880957878,0.04589962418573275,-0.000949084764390968,0.0030110069682199314,0.0022305851774619004,-0.000949084764390968,0.0030110069682199314,0.0022305851774619004,-0.000949084764390968,0.0030110069682199314,0.0022305851774619004,-0.000949084764390968,0.0030110069682199314,0.0022305851774619004
C,8,-2.0,0.12,7,0.010819326684327788,0.005644483338456727,0.004181491774041154,0.003534867690773729,0.0014111208346141817,0.0010453729435102885,-0.003320144078767129,0.0,0.0,-0.0009591238839285714,0.0002999724990486077,0.0002222227371395291,-0.050710413382515744,0.08086370298929789,0.05990466949641231,0.0013848738155939502,0.000722493867322459,0.0005352309470772661,0.0013848738155939502,0.000722493867322459,0.0005352309470772661,0.0013848738155939502,0.000722493867322459,0.0005352309470772661,0.0013848738155939502,0.000722493867322459,0.0005352309470772661
C,8,-2.0,0.16,7,0.015026407954402783,0.008506041783545483,0.006301363936219981,0.005230901657956001,0.0021265104458863707,0.0015753409840549952,-0.005897198677421223,0.0,0.0,-0.0013427734375,0.0006100971963449646,0.0004519663279898258,-0.008816935833927937,0.09539535221698935,0.07066986589531903,0.0019233802181635648,0.0010887733482938253,0.0008065745838361603,0.0019233802181635648,0.0010887733482938253,0.0008065745838361603,0.0019233802181635648,0.0010887733482938253,0.0008065745838361603,0.0019233802181635648,0.0010887733482938253,0.0008065745838361603
C,8,-2.0,0.2,7,0.018350710327200797,0.01065300016788027,0.007891852965063348,0.006888624002385403,0.0026632500419700674,0.001972963241265837,-0.009203785682340815,0.0,0.0,-0.0017264229910714285,0.0004995498987117493,0.0003700717438484623,-0.02077668071495101,0.10318574443602962,0.07644106921494433,0.002348890921881714,0.0013635840214886732,0.0010101571795281075,0.002348890921881714,0.0013635840214886732,0.0010101571795281075,0.002348890921881714,0.0013635840214886732,0.0010101571795281075,0.002348890921881714,0.0013635840214886732,0.0010101571795281075
C,8,-2.0,0.24,7,0.017444466010023568,0.012858547559362077,0.00952574533779921,0.007669831518867766,0.0032146368898405193,0.0023814363344498023,-0.013234860065447496,0.0,0.0,-0.0020359584263392855,0.0007162890765780741,0.0005306343737681516,-0.02277121489923774,0.10227256982396132,0.07576457999535335,0.002232891649283023,0.0016458940875983465,0.0012192954032382993,0.002232891649283023,0.0016458940875983465,0.0012192954032382993,0.002232891649283023,0.0016458940875983465,0.0012192954032382993,0.002232891649283023,0.0016458940875983465,0.0012192954032382993
C,8,-2.0,0.28,7,0.01582313607376662,0.014107877516042068,0.01045126192163395,0.008451856671780167,0.003526969379010517,0.0026128154804084874,-0.017984290613354048,0.0,0.0,-0.002227783203125,0.0008714002175635603,0.0006455423150626125,-0.012093739952588984,0.12273992902156977,0.09092701187606204,0.002025361417442132,0.0018058083220533802,0.001337761525969142,0.002025361417442132,0.0018058083220533802,0.001337761525969142,0.002025361417442132,0.0018058083220533802,0.001337761525969142,0.002025361417442132,0.0018058083220533802,0.001337761525969142
