seed,scenario_group,band,spans,launch_power_dbm,pcs_nu,shaped,stress_name,display_name,scenario,symbol_entropy_bits,conditional_bit_entropy_sum,bmd_gmi_bits_per_symbol,gmi,ngmi,ber,gsnr_db,air_tbps,rate_tbps
1,C,C,10,0.0,0.24,True,q3_evidence,PCS raw,pcs_raw,3.9867651399345525,0.16328912150758507,3.8234760184269674,3.8234760184269674,0.9591777196231037,0.009979248046875,13.810428317323222,0.4894049303586518,0.4894049303586518
1,C,C,10,0.0,0.28,True,q3_evidence,PCS raw,pcs_raw,3.982015709386646,0.15881378636179955,3.8232019230248464,3.8232019230248464,0.9602965534095501,0.009246826171875,13.796745051059903,0.4893698461471804,0.4893698461471804
1,C,C,10,0.0,0.32,True,q3_evidence,PCS raw,pcs_raw,3.976555119443372,0.1518528865854353,3.8247022328579368,3.8247022328579368,0.9620367783536412,0.00933837890625,13.78925545181296,0.48956188580581594,0.48956188580581594
1,C,C,10,0.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.970391608345835,0.14615211457763536,3.8242394937681996,3.8242394937681996,0.9634619713555912,0.00897216796875,13.825862645804037,0.48950265520232955,0.48950265520232955
1,C,C,10,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,4.0,0.35577635745312675,3.6442236425468733,3.6442236425468733,0.9110559106367183,0.020965576171875,12.928788126785673,0.46646062624599977,0.46646062624599977
1,C,C,10,2.0,0.12,True,q3_evidence,PCS raw,pcs_raw,3.996679855921233,0.35006734162196307,3.64661251429927,3.64661251429927,0.9124831645945093,0.019989013671875,12.709210740618584,0.4667664018303066,0.4667664018303066
1,C,C,10,2.0,0.16,True,q3_evidence,PCS raw,pcs_raw,3.9941028013225788,0.3391325347819525,3.6549702665406265,3.6549702665406265,0.9152168663045119,0.019439697265625,12.783755617759521,0.4678361941172002,0.4678361941172002
1,C,C,10,2.0,0.2,True,q3_evidence,PCS raw,pcs_raw,3.990796214317659,0.3281579212867235,3.662638293030936,3.662638293030936,0.9179605196783192,0.018798828125,12.789614018529257,0.46881770150795976,0.46881770150795976
1,C,C,10,2.0,0.24,True,q3_evidence,PCS raw,pcs_raw,3.9867651399345525,0.3082123778171024,3.67855276211745,3.67855276211745,0.9229469055457243,0.0181884765625,12.70983829422065,0.47085475355103357,0.47085475355103357
1,C,C,10,2.0,0.28,True,q3_evidence,PCS raw,pcs_raw,3.982015709386646,0.3347643652065938,3.6472513441800523,3.6472513441800523,0.9163089086983516,0.019989013671875,12.69869391477469,0.4668481720550467,0.4668481720550467
1,C,C,10,2.0,0.32,True,q3_evidence,PCS raw,pcs_raw,3.976555119443372,0.332221007200315,3.644334112243057,3.644334112243057,0.9169447481999212,0.0189208984375,12.60406131725137,0.46647476636711127,0.46647476636711127
1,C,C,10,2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.970391608345835,0.31120299728146783,3.659188611064367,3.659188611064367,0.922199250679633,0.01800537109375,12.618553914184876,0.46837614221623897,0.46837614221623897
1,C,C,10,4.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,4.0,0.8171946340518966,3.1828053659481035,3.1828053659481035,0.7957013414870259,0.049346923828125,10.788494702317674,0.4073990868413572,0.4073990868413572
1,C,C,10,4.0,0.12,True,q3_evidence,PCS raw,pcs_raw,3.996679855921233,0.8319329080987591,3.164746947822474,3.164746947822474,0.7920167729753103,0.049652099609375,10.614982716878686,0.4050876093212767,0.4050876093212767
1,C,C,10,4.0,0.16,True,q3_evidence,PCS raw,pcs_raw,3.9941028013225788,0.8244932906335076,3.169609510689071,3.169609510689071,0.793876677341623,0.048065185546875,10.49422215720428,0.40571001736820106,0.40571001736820106
1,C,C,10,4.0,0.2,True,q3_evidence,PCS raw,pcs_raw,3.990796214317659,0.7950916353345234,3.1957045789831358,3.1957045789831358,0.8012270911663691,0.048095703125,10.47942748291582,0.4090501861098414,0.4090501861098414
1,C,C,10,4.0,0.24,True,q3_evidence,PCS raw,pcs_raw,3.9867651399345525,0.7837761721803035,3.202988967754249,3.202988967754249,0.8040559569549242,0.046875,10.54558425076082,0.4099825878725439,0.4099825878725439
1,C,C,10,4.0,0.28,True,q3_evidence,PCS raw,pcs_raw,3.982015709386646,0.769136430971809,3.212879278414837,3.212879278414837,0.8077158922570478,0.045166015625,10.452220969550146,0.4112485476370991,0.4112485476370991
1,C,C,10,4.0,0.32,True,q3_evidence,PCS raw,pcs_raw,3.976555119443372,0.7738865155710415,3.2026686038723304,3.2026686038723304,0.8065283711072396,0.046356201171875,10.451518925580404,0.40994158129565833,0.40994158129565833
1,C,C,10,4.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.970391608345835,0.8015536849028158,3.168837923443019,3.168837923443019,0.799611578774296,0.046630859375,10.319143856589893,0.40561125420070643,0.40561125420070643
1,C,C,10,6.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,4.0,1.712464437421498,2.287535562578502,2.287535562578502,0.5718838906446255,0.122772216796875,7.4091472060301236,0.2928045520100483,0.2928045520100483
1,C,C,10,6.0,0.12,True,q3_evidence,PCS raw,pcs_raw,3.996679855921233,1.6997327772104605,2.2969470787107724,2.2969470787107724,0.5750668056973849,0.117706298828125,7.268130856096327,0.29400922607497887,0.29400922607497887
1,C,C,10,6.0,0.16,True,q3_evidence,PCS raw,pcs_raw,3.9941028013225788,1.7227969319858965,2.2713058693366825,2.2713058693366825,0.5693007670035259,0.11724853515625,7.202855165826799,0.29072715127509535,0.29072715127509535
1,C,C,10,6.0,0.2,True,q3_evidence,PCS raw,pcs_raw,3.990796214317659,1.7227156684401832,2.268080545877476,2.268080545877476,0.5693210828899542,0.115936279296875,7.190559108218024,0.29031430987231693,0.29031430987231693
1,C,C,10,6.0,0.24,True,q3_evidence,PCS raw,pcs_raw,3.9867651399345525,1.7363031746187123,2.25046196531584,2.25046196531584,0.5659242063453219,0.11712646484375,6.996651816949462,0.28805913156042756,0.28805913156042756
