seed,scenario_group,spans,launch_power_dbm,pcs_nu,shaped,scenario,symbol_count,ssfm_steps_per_span,n_bands,bands,gmi,ngmi,ber,gsnr_db,rate_tbps,rate_tbps_per_channel
3,S,12,-2.0,0.0,False,uniform_raw,16384,4,1,S,3.7487187526554497,0.9371796881638624,0.0157470703125,13.408556344481223,0.3998633336165814,0.3998633336165814
3,S,12,-2.0,0.36,True,pcs_raw,16384,4,1,S,3.8112323850134358,0.9528080962533589,0.012115478515625,13.409863720240354,0.4065314544014332,0.4065314544014332
4,S,12,-2.0,0.0,False,uniform_raw,16384,4,1,S,3.7478711734800667,0.9369677933700167,0.0161895751953125,13.441019990087806,0.39977292517120716,0.39977292517120716
4,S,12,-2.0,0.36,True,pcs_raw,16384,4,1,S,3.8319245870205854,0.9579811467551463,0.010986328125,13.496620228159816,0.4087386226155291,0.4087386226155291
5,S,12,-2.0,0.0,False,uniform_raw,16384,4,1,S,3.75456203197772,0.93864050799443,0.01593017578125,13.47376956882676,0.4004866167442901,0.4004866167442901
5,S,12,-2.0,0.36,True,pcs_raw,16384,4,1,S,3.8230606355844685,0.9557651588961171,0.0114288330078125,13.408962438512988,0.40779313446234333,0.40779313446234333
6,S,12,-2.0,0.0,False,uniform_raw,16384,4,1,S,3.755694924989255,0.9389237312473138,0.0156707763671875,13.411747947703912,0.40060745866552055,0.40060745866552055
6,S,12,-2.0,0.36,True,pcs_raw,16384,4,1,S,3.8112239354892194,0.9528059838723049,0.0122528076171875,13.39770955197568,0.4065305531188501,0.4065305531188501
7,S,12,-2.0,0.0,False,uniform_raw,16384,4,1,S,3.740979052592202,0.9352447631480505,0.0164337158203125,13.424256816252626,0.3990377656098349,0.3990377656098349
7,S,12,-2.0,0.36,True,pcs_raw,16384,4,1,S,3.8056327300964377,0.9514081825241094,0.01263427734375,13.359761272813435,0.40593415787695336,0.40593415787695336
1,C,10,2.0,0.0,False,uniform_raw,16384,8,1,C,3.6397694753261884,0.9099423688315471,0.0212554931640625,12.831667956496878,0.38824207736812677,0.38824207736812677
1,C,10,2.0,0.36,True,pcs_raw,16384,8,1,C,3.6850777605170757,0.9212694401292689,0.018585205078125,12.659026840060847,0.3930749611218214,0.3930749611218214
